Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,1,0,730.183,700,700,0,700,02/22/2019 16:35:36,02/22/2019 16:23:26,3241.7314,-1640.2,0,318.876,0,1036.152,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,750.183,720,720,0,720,02/22/2019 16:35:56,02/22/2019 16:23:26,3241.5382,-1639.9,0,327.987,0,1065.684,30,0,0,0,0,0,0,0,25.8,25.1,,,,
187,1,SBT0550,001,1,,1,0,770.183,740,740,0,740,02/22/2019 16:36:16,02/22/2019 16:23:26,3241.0506,-1639.8,0,337.098,0,1095.214,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,790.183,760,760,0,760,02/22/2019 16:36:36,02/22/2019 16:23:26,3240.9118,-1639.9,0,346.209,0,1124.742,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,810.183,780,780,0,780,02/22/2019 16:36:56,02/22/2019 16:23:26,3240.951,-1639.9,0,355.319,0,1154.268,30,0,0,0,0,0,0,0,25.79,25.1,,,,
187,1,SBT0550,001,1,,1,0,830.183,800,800,0,800,02/22/2019 16:37:16,02/22/2019 16:23:26,3240.583,-1639.9,0,364.43,0,1183.793,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,850.183,820,820,0,820,02/22/2019 16:37:36,02/22/2019 16:23:26,3240.1826,-1639.9,0,373.541,0,1213.316,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,870.183,840,840,0,840,02/22/2019 16:37:56,02/22/2019 16:23:26,3240.0868,-1639.8,0,382.652,0,1242.838,30,0,0,0,0,0,0,0,25.8,25,,,,
187,1,SBT0550,001,1,,1,0,890.183,860,860,0,860,02/22/2019 16:38:16,02/22/2019 16:23:26,3239.822,-1639.9,0,391.763,0,1272.356,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,910.183,880,880,0,880,02/22/2019 16:38:36,02/22/2019 16:23:26,3239.7166,-1639.9,0,400.873,0,1301.874,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,930.183,900,900,0,900,02/22/2019 16:38:56,02/22/2019 16:23:26,3239.5272,-1640.1,0,409.984,0,1331.391,30,0,0,0,0,0,0,0,25.79,25.1,,,,
187,1,SBT0550,001,1,,1,0,950.183,920,920,0,920,02/22/2019 16:39:16,02/22/2019 16:23:26,3239.2786,-1640.1,0,419.095,0,1360.906,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,970.183,940,940,0,940,02/22/2019 16:39:36,02/22/2019 16:23:26,3239.15,-1640.1,0,428.206,0,1390.418,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,990.183,960,960,0,960,02/22/2019 16:39:56,02/22/2019 16:23:26,3238.971,-1640.2,0,437.316,0,1419.929,30,0,0,0,0,0,0,0,25.78,25.1,,,,
187,1,SBT0550,001,1,,1,0,1010.183,980,980,0,980,02/22/2019 16:40:16,02/22/2019 16:23:26,3238.9728,-1640,0,446.427,0,1449.439,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1030.183,1000,1000,0,1000,02/22/2019 16:40:36,02/22/2019 16:23:26,3238.6802,-1639.9,0,455.538,0,1478.947,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1050.183,1020,1020,0,1020,02/22/2019 16:40:56,02/22/2019 16:23:26,3238.5156,-1640,0,464.649,0,1508.453,30,0,0,0,0,0,0,0,25.77,25,,,,
187,1,SBT0550,001,1,,1,0,1070.183,1040,1040,0,1040,02/22/2019 16:41:16,02/22/2019 16:23:26,3238.4462,-1640.1,0,473.76,0,1537.958,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1090.183,1060,1060,0,1060,02/22/2019 16:41:36,02/22/2019 16:23:26,3238.3336,-1639.8,0,482.87,0,1567.462,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1110.183,1080,1080,0,1080,02/22/2019 16:41:56,02/22/2019 16:23:26,3238.1908,-1639.9,0,491.981,0,1596.965,30,0,0,0,0,0,0,0,25.78,25.1,,,,
187,1,SBT0550,001,1,,1,0,1130.183,1100,1100,0,1100,02/22/2019 16:42:16,02/22/2019 16:23:26,3238.1614,-1639.9,0,501.092,0,1626.467,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1150.183,1120,1120,0,1120,02/22/2019 16:42:36,02/22/2019 16:23:26,3237.856,-1640.1,0,510.203,0,1655.969,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1170.183,1140,1140,0,1140,02/22/2019 16:42:56,02/22/2019 16:23:26,3237.8066,-1640,0,519.313,0,1685.468,30,0,0,0,0,0,0,0,25.78,25.1,,,,
187,1,SBT0550,001,1,,1,0,1190.183,1160,1160,0,1160,02/22/2019 16:43:16,02/22/2019 16:23:26,3237.6182,-1640.1,0,528.424,0,1714.966,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1210.183,1180,1180,0,1180,02/22/2019 16:43:36,02/22/2019 16:23:26,3237.438,-1640.2,0,537.535,0,1744.463,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1230.183,1200,1200,0,1200,02/22/2019 16:43:56,02/22/2019 16:23:26,3237.41,-1639.8,0,546.646,0,1773.959,30,0,0,0,0,0,0,0,25.77,25,,,,
187,1,SBT0550,001,1,,1,0,1250.183,1220,1220,0,1220,02/22/2019 16:44:16,02/22/2019 16:23:26,3237.0368,-1639.9,0,555.756,0,1803.452,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1270.183,1240,1240,0,1240,02/22/2019 16:44:36,02/22/2019 16:23:26,3237.0728,-1639.9,0,564.867,0,1832.944,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1290.183,1260,1260,0,1260,02/22/2019 16:44:56,02/22/2019 16:23:26,3236.9976,-1640.1,0,573.978,0,1862.437,30,0,0,0,0,0,0,0,25.76,25.1,,,,
187,1,SBT0550,001,1,,1,0,1310.183,1280,1280,0,1280,02/22/2019 16:45:16,02/22/2019 16:23:26,3236.8254,-1639.9,0,583.089,0,1891.929,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1330.183,1300,1300,0,1300,02/22/2019 16:45:36,02/22/2019 16:23:26,3236.7766,-1639.9,0,592.2,0,1921.42,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1350.183,1320,1320,0,1320,02/22/2019 16:45:56,02/22/2019 16:23:26,3236.6056,-1639.9,0,601.31,0,1950.909,30,0,0,0,0,0,0,0,25.76,25.1,,,,
187,1,SBT0550,001,1,,1,0,1370.183,1340,1340,0,1340,02/22/2019 16:46:16,02/22/2019 16:23:26,3236.2372,-1640.1,0,610.421,0,1980.395,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1390.183,1360,1360,0,1360,02/22/2019 16:46:36,02/22/2019 16:23:26,3236.4362,-1640.2,0,619.532,0,2009.881,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1410.183,1380,1380,0,1380,02/22/2019 16:46:56,02/22/2019 16:23:26,3236.2672,-1640,0,628.643,0,2039.366,30,0,0,0,0,0,0,0,25.77,25.1,,,,
187,1,SBT0550,001,1,,1,0,1430.183,1400,1400,0,1400,02/22/2019 16:47:16,02/22/2019 16:23:26,3236.2332,-1639.9,0,637.754,0,2068.851,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1450.183,1420,1420,0,1420,02/22/2019 16:47:36,02/22/2019 16:23:26,3235.883,-1640.1,0,646.864,0,2098.334,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1470.183,1440,1440,0,1440,02/22/2019 16:47:56,02/22/2019 16:23:26,3235.7768,-1639.9,0,655.975,0,2127.816,30,0,0,0,0,0,0,0,25.77,25,,,,
187,1,SBT0550,001,1,,1,0,1490.183,1460,1460,0,1460,02/22/2019 16:48:16,02/22/2019 16:23:26,3235.6872,-1639.9,0,665.086,0,2157.298,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1510.183,1480,1480,0,1480,02/22/2019 16:48:36,02/22/2019 16:23:26,3235.6888,-1640.1,0,674.197,0,2186.777,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1530.183,1500,1500,0,1500,02/22/2019 16:48:56,02/22/2019 16:23:26,3235.5588,-1640.1,0,683.307,0,2216.257,30,0,0,0,0,0,0,0,25.75,25.1,,,,
187,1,SBT0550,001,1,,1,0,1550.183,1520,1520,0,1520,02/22/2019 16:49:16,02/22/2019 16:23:26,3235.5218,-1640.2,0,692.418,0,2245.736,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1570.183,1540,1540,0,1540,02/22/2019 16:49:36,02/22/2019 16:23:26,3235.4122,-1640.1,0,701.529,0,2275.213,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1590.183,1560,1560,0,1560,02/22/2019 16:49:56,02/22/2019 16:23:26,3235.3454,-1640.1,0,710.64,0,2304.689,30,0,0,0,0,0,0,0,25.75,25.1,,,,
187,1,SBT0550,001,1,,1,0,1610.183,1580,1580,0,1580,02/22/2019 16:50:16,02/22/2019 16:23:26,3235.1288,-1640.1,0,719.751,0,2334.164,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1630.183,1600,1600,0,1600,02/22/2019 16:50:36,02/22/2019 16:23:26,3235.0512,-1639.8,0,728.861,0,2363.639,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1650.183,1620,1620,0,1620,02/22/2019 16:50:56,02/22/2019 16:23:26,3234.9264,-1639.8,0,737.972,0,2393.112,30,0,0,0,0,0,0,0,25.75,25,,,,
187,1,SBT0550,001,1,,1,0,1670.183,1640,1640,0,1640,02/22/2019 16:51:16,02/22/2019 16:23:26,3235.0454,-1640.1,0,747.083,0,2422.586,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1690.183,1660,1660,0,1660,02/22/2019 16:51:36,02/22/2019 16:23:26,3235.0332,-1639.8,0,756.194,0,2452.059,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1710.183,1680,1680,0,1680,02/22/2019 16:51:56,02/22/2019 16:23:26,3234.733,-1639.9,0,765.304,0,2481.531,30,0,0,0,0,0,0,0,25.75,25.1,,,,
187,1,SBT0550,001,1,,1,0,1730.183,1700,1700,0,1700,02/22/2019 16:52:16,02/22/2019 16:23:26,3234.7602,-1639.9,0,774.415,0,2511.002,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1750.183,1720,1720,0,1720,02/22/2019 16:52:36,02/22/2019 16:23:26,3234.4342,-1640.1,0,783.526,0,2540.471,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1770.183,1740,1740,0,1740,02/22/2019 16:52:56,02/22/2019 16:23:26,3234.4582,-1639.9,0,792.637,0,2569.939,30,0,0,0,0,0,0,0,25.75,25.1,,,,
187,1,SBT0550,001,1,,1,0,1790.183,1760,1760,0,1760,02/22/2019 16:53:16,02/22/2019 16:23:26,3234.2982,-1640.1,0,801.747,0,2599.407,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1810.183,1780,1780,0,1780,02/22/2019 16:53:36,02/22/2019 16:23:26,3234.2254,-1640,0,810.858,0,2628.876,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1830.183,1800,1800,0,1800,02/22/2019 16:53:56,02/22/2019 16:23:26,3234.1378,-1640,0,819.969,0,2658.343,30,0,0,0,0,0,0,0,25.74,25.1,,,,
187,1,SBT0550,001,1,,1,0,1850.183,1820,1820,0,1820,02/22/2019 16:54:16,02/22/2019 16:23:26,3233.835,-1639.8,0,829.08,0,2687.808,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1870.183,1840,1840,0,1840,02/22/2019 16:54:36,02/22/2019 16:23:26,3233.9362,-1639.8,0,838.191,0,2717.272,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1890.183,1860,1860,0,1860,02/22/2019 16:54:56,02/22/2019 16:23:26,3233.9706,-1640,0,847.301,0,2746.736,30,0,0,0,0,0,0,0,25.76,25.1,,,,
187,1,SBT0550,001,1,,1,0,1910.183,1880,1880,0,1880,02/22/2019 16:55:16,02/22/2019 16:23:26,3234.0046,-1640,0,856.412,0,2776.2,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1930.183,1900,1900,0,1900,02/22/2019 16:55:36,02/22/2019 16:23:26,3233.684,-1639.8,0,865.523,0,2805.664,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1950.183,1920,1920,0,1920,02/22/2019 16:55:56,02/22/2019 16:23:26,3233.4866,-1639.6,0,874.634,0,2835.125,30,0,0,0,0,0,0,0,25.74,25.1,,,,
187,1,SBT0550,001,1,,1,0,1970.183,1940,1940,0,1940,02/22/2019 16:56:16,02/22/2019 16:23:26,3233.669,-1639.9,0,883.744,0,2864.586,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,1990.183,1960,1960,0,1960,02/22/2019 16:56:36,02/22/2019 16:23:26,3233.5708,-1639.9,0,892.855,0,2894.046,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2010.183,1980,1980,0,1980,02/22/2019 16:56:56,02/22/2019 16:23:26,3233.4206,-1639.8,0,901.966,0,2923.505,30,0,0,0,0,0,0,0,25.75,25.1,,,,
187,1,SBT0550,001,1,,1,0,2030.183,2000,2000,0,2000,02/22/2019 16:57:16,02/22/2019 16:23:26,3233.2726,-1639.9,0,911.077,0,2952.964,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2050.183,2020,2020,0,2020,02/22/2019 16:57:36,02/22/2019 16:23:26,3233.2852,-1639.9,0,920.187,0,2982.422,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2070.183,2040,2040,0,2040,02/22/2019 16:57:56,02/22/2019 16:23:26,3233.326,-1640.1,0,929.298,0,3011.879,30,0,0,0,0,0,0,0,25.75,25,,,,
187,1,SBT0550,001,1,,1,0,2090.183,2060,2060,0,2060,02/22/2019 16:58:16,02/22/2019 16:23:26,3233.1374,-1639.9,0,938.409,0,3041.336,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2110.183,2080,2080,0,2080,02/22/2019 16:58:36,02/22/2019 16:23:26,3233.1378,-1639.8,0,947.52,0,3070.793,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2130.183,2100,2100,0,2100,02/22/2019 16:58:56,02/22/2019 16:23:26,3233.0034,-1640,0,956.63,0,3100.249,30,0,0,0,0,0,0,0,25.75,25,,,,
187,1,SBT0550,001,1,,1,0,2150.183,2120,2120,0,2120,02/22/2019 16:59:16,02/22/2019 16:23:26,3232.8538,-1640.1,0,965.741,0,3129.703,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2170.183,2140,2140,0,2140,02/22/2019 16:59:36,02/22/2019 16:23:26,3232.7198,-1639.8,0,974.852,0,3159.157,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,2190.183,2160,2160,0,2160,02/22/2019 16:59:56,02/22/2019 16:23:26,3232.9438,-1639.8,0,983.963,0,3188.61,30,0,0,0,0,0,0,0,25.75,25.1,,,,
187,1,SBT0550,001,1,,1,0,2210.183,2180,2180,0,2180,02/22/2019 17:00:16,02/22/2019 16:23:26,3232.6352,-1639.9,0,993.073,0,3218.062,2,0,0,0,0,0,0,0,,,,,,
