Cycle Index,Chg. Cap.(Ah),DChg. Cap.(Ah),Chg.-DChg. Eff(%),Chg. Energy(Wh),DChg. Energy(Wh),Chg. Time,DChg. Time
,Step Index,Step Number,Step Type,Step Time,Capacity(Ah),Energy(Wh),Oneset Volt.(V),End Voltage(V),V1 Oneset Volt.(V),V1 End Voltage(V),T1 Oneset T(?),T1 End T(?),CPU1 Oneset T(?),CPU1 End T(?)
,,DataPoint,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Energy(Wh),Date,Power(W),V1(V),T1(?),CPU(?),Aux. Vmax(V),Aux. Vmin(V),Aux.Ave.Volt.(V),Aux. ?V(V),Aux. Tmax(?),Aux. Tmin(?),Aux.Ave.T(?),Aux. ?T(?)
,,18,00:02:00,00:02:20,0.47417,4.5899,0.015807187,0.07105,2026-03-06 12:39:45,2.17640,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,19,00:02:30,00:02:50,0.47417,4.6524,0.019758619,0.08931,2026-03-06 12:40:15,2.20603,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,20,00:02:39,00:02:59,0.47417,4.6736,0.020996738,0.09508,2026-03-06 12:40:24,2.21609,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,21,00:02:51,00:03:11,0.47417,4.7000,0.022564143,0.10243,2026-03-06 12:40:36,2.22859,0.0000,26.61,24.98,0.0000,0.0000,0.0000,0.0000,26.61,24.98,25.79,1.63
,3,3,Rest,00:05:00,0.00000,0.00000,4.6375,4.3907,0.0000,0.0000,26.61,26.61,24.98,25.17
,,22,00:00:00,00:03:11,0.00000,4.6375,0.000000000,0.00000,2026-03-06 12:40:36,0.00000,0.0000,26.61,24.98,0.0000,0.0000,0.0000,0.0000,26.61,24.98,25.79,1.63
,,23,00:00:01,00:03:12,0.00000,4.5355,0.000000000,0.00000,2026-03-06 12:40:38,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,24,00:00:02,00:03:13,0.00000,4.5239,0.000000000,0.00000,2026-03-06 12:40:38,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,25,00:00:04,00:03:15,0.00000,4.5000,0.000000000,0.00000,2026-03-06 12:40:40,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,26,00:00:06,00:03:17,0.00000,4.4884,0.000000000,0.00000,2026-03-06 12:40:42,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,27,00:00:08,00:03:19,0.00000,4.4809,0.000000000,0.00000,2026-03-06 12:40:44,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,28,00:00:10,00:03:21,0.00000,4.4751,0.000000000,0.00000,2026-03-06 12:40:46,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,29,00:00:12,00:03:23,0.00000,4.4706,0.000000000,0.00000,2026-03-06 12:40:48,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,30,00:00:14,00:03:25,0.00000,4.4667,0.000000000,0.00000,2026-03-06 12:40:50,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,31,00:00:16,00:03:27,0.00000,4.4634,0.000000000,0.00000,2026-03-06 12:40:52,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,32,00:00:18,00:03:29,0.00000,4.4604,0.000000000,0.00000,2026-03-06 12:40:54,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,33,00:00:20,00:03:31,0.00000,4.4578,0.000000000,0.00000,2026-03-06 12:40:56,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,34,00:00:22,00:03:33,0.00000,4.4555,0.000000000,0.00000,2026-03-06 12:40:58,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,35,00:00:24,00:03:35,0.00000,4.4533,0.000000000,0.00000,2026-03-06 12:41:00,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,36,00:00:26,00:03:37,0.00000,4.4513,0.000000000,0.00000,2026-03-06 12:41:02,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,37,00:00:28,00:03:39,0.00000,4.4493,0.000000000,0.00000,2026-03-06 12:41:04,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,38,00:00:30,00:03:41,0.00000,4.4477,0.000000000,0.00000,2026-03-06 12:41:06,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,39,00:00:32,00:03:43,0.00000,4.4461,0.000000000,0.00000,2026-03-06 12:41:08,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,40,00:00:34,00:03:45,0.00000,4.4446,0.000000000,0.00000,2026-03-06 12:41:10,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,41,00:00:36,00:03:47,0.00000,4.4430,0.000000000,0.00000,2026-03-06 12:41:12,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,42,00:00:38,00:03:49,0.00000,4.4417,0.000000000,0.00000,2026-03-06 12:41:14,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,43,00:00:40,00:03:51,0.00000,4.4404,0.000000000,0.00000,2026-03-06 12:41:16,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,44,00:00:42,00:03:53,0.00000,4.4392,0.000000000,0.00000,2026-03-06 12:41:18,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,45,00:00:44,00:03:55,0.00000,4.4381,0.000000000,0.00000,2026-03-06 12:41:20,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,46,00:00:46,00:03:57,0.00000,4.4369,0.000000000,0.00000,2026-03-06 12:41:22,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,47,00:00:48,00:03:59,0.00000,4.4358,0.000000000,0.00000,2026-03-06 12:41:24,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,48,00:00:48,00:04:00,0.00000,4.4355,0.000000000,0.00000,2026-03-06 12:41:25,0.00000,0.0000,26.78,25.36,0.0000,0.0000,0.0000,0.0000,26.78,25.36,26.07,1.42
,,49,00:00:50,00:04:01,0.00000,4.4349,0.000000000,0.00000,2026-03-06 12:41:26,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,50,00:00:52,00:04:03,0.00000,4.4338,0.000000000,0.00000,2026-03-06 12:41:28,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,51,00:00:54,00:04:05,0.00000,4.4329,0.000000000,0.00000,2026-03-06 12:41:30,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,52,00:00:56,00:04:07,0.00000,4.4320,0.000000000,0.00000,2026-03-06 12:41:32,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,53,00:00:58,00:04:09,0.00000,4.4311,0.000000000,0.00000,2026-03-06 12:41:34,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,54,00:01:00,00:04:11,0.00000,4.4302,0.000000000,0.00000,2026-03-06 12:41:36,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,55,00:01:02,00:04:13,0.00000,4.4294,0.000000000,0.00000,2026-03-06 12:41:38,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,56,00:01:04,00:04:15,0.00000,4.4287,0.000000000,0.00000,2026-03-06 12:41:40,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,57,00:01:06,00:04:17,0.00000,4.4278,0.000000000,0.00000,2026-03-06 12:41:42,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,58,00:01:08,00:04:19,0.00000,4.4271,0.000000000,0.00000,2026-03-06 12:41:44,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,59,00:01:10,00:04:21,0.00000,4.4264,0.000000000,0.00000,2026-03-06 12:41:46,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,60,00:01:12,00:04:23,0.00000,4.4256,0.000000000,0.00000,2026-03-06 12:41:48,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,61,00:01:14,00:04:25,0.00000,4.4249,0.000000000,0.00000,2026-03-06 12:41:50,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,62,00:01:16,00:04:27,0.00000,4.4243,0.000000000,0.00000,2026-03-06 12:41:52,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,63,00:01:18,00:04:29,0.00000,4.4236,0.000000000,0.00000,2026-03-06 12:41:54,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,64,00:01:20,00:04:31,0.00000,4.4230,0.000000000,0.00000,2026-03-06 12:41:56,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,65,00:01:22,00:04:33,0.00000,4.4223,0.000000000,0.00000,2026-03-06 12:41:58,0.00000,0.0000,26.78,25.36,0.0000,0.0000,0.0000,0.0000,26.78,25.36,26.07,1.42
,,66,00:01:24,00:04:35,0.00000,4.4217,0.000000000,0.00000,2026-03-06 12:42:00,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,67,00:01:26,00:04:37,0.00000,4.4211,0.000000000,0.00000,2026-03-06 12:42:02,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,68,00:01:28,00:04:39,0.00000,4.4206,0.000000000,0.00000,2026-03-06 12:42:04,0.00000,0.0000,26.78,25.36,0.0000,0.0000,0.0000,0.0000,26.78,25.36,26.07,1.42
,,69,00:01:30,00:04:41,0.00000,4.4201,0.000000000,0.00000,2026-03-06 12:42:06,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,70,00:01:32,00:04:43,0.00000,4.4195,0.000000000,0.00000,2026-03-06 12:42:08,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,71,00:01:34,00:04:45,0.00000,4.4189,0.000000000,0.00000,2026-03-06 12:42:10,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,72,00:01:36,00:04:47,0.00000,4.4184,0.000000000,0.00000,2026-03-06 12:42:12,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,73,00:01:38,00:04:49,0.00000,4.4179,0.000000000,0.00000,2026-03-06 12:42:14,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,74,00:01:40,00:04:51,0.00000,4.4173,0.000000000,0.00000,2026-03-06 12:42:16,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,75,00:01:42,00:04:53,0.00000,4.4169,0.000000000,0.00000,2026-03-06 12:42:18,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,76,00:01:44,00:04:55,0.00000,4.4164,0.000000000,0.00000,2026-03-06 12:42:20,0.00000,0.0000,26.78,25.54,0.0000,0.0000,0.0000,0.0000,26.78,25.54,26.16,1.24
,,77,00:01:46,00:04:57,0.00000,4.4158,0.000000000,0.00000,2026-03-06 12:42:22,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,78,00:01:48,00:04:59,0.00000,4.4155,0.000000000,0.00000,2026-03-06 12:42:24,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,79,00:01:50,00:05:01,0.00000,4.4150,0.000000000,0.00000,2026-03-06 12:42:26,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,80,00:01:52,00:05:03,0.00000,4.4145,0.000000000,0.00000,2026-03-06 12:42:28,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,81,00:01:54,00:05:05,0.00000,4.4140,0.000000000,0.00000,2026-03-06 12:42:30,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,82,00:01:56,00:05:07,0.00000,4.4137,0.000000000,0.00000,2026-03-06 12:42:32,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,83,00:01:58,00:05:09,0.00000,4.4133,0.000000000,0.00000,2026-03-06 12:42:34,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,84,00:02:00,00:05:11,0.00000,4.4128,0.000000000,0.00000,2026-03-06 12:42:36,0.00000,0.0000,26.78,25.36,0.0000,0.0000,0.0000,0.0000,26.78,25.36,26.07,1.42
,,85,00:02:02,00:05:13,0.00000,4.4124,0.000000000,0.00000,2026-03-06 12:42:38,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,86,00:02:04,00:05:15,0.00000,4.4120,0.000000000,0.00000,2026-03-06 12:42:40,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,87,00:02:06,00:05:17,0.00000,4.4116,0.000000000,0.00000,2026-03-06 12:42:42,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,88,00:02:08,00:05:19,0.00000,4.4112,0.000000000,0.00000,2026-03-06 12:42:44,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,89,00:02:10,00:05:21,0.00000,4.4108,0.000000000,0.00000,2026-03-06 12:42:46,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,90,00:02:12,00:05:23,0.00000,4.4104,0.000000000,0.00000,2026-03-06 12:42:48,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,91,00:02:14,00:05:25,0.00000,4.4101,0.000000000,0.00000,2026-03-06 12:42:50,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,92,00:02:16,00:05:27,0.00000,4.4096,0.000000000,0.00000,2026-03-06 12:42:52,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,93,00:02:18,00:05:29,0.00000,4.4094,0.000000000,0.00000,2026-03-06 12:42:54,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,94,00:02:20,00:05:31,0.00000,4.4090,0.000000000,0.00000,2026-03-06 12:42:56,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,95,00:02:22,00:05:33,0.00000,4.4087,0.000000000,0.00000,2026-03-06 12:42:58,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,96,00:02:24,00:05:35,0.00000,4.4083,0.000000000,0.00000,2026-03-06 12:43:00,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,97,00:02:26,00:05:37,0.00000,4.4079,0.000000000,0.00000,2026-03-06 12:43:02,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,98,00:02:28,00:05:39,0.00000,4.4076,0.000000000,0.00000,2026-03-06 12:43:04,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,99,00:02:30,00:05:41,0.00000,4.4072,0.000000000,0.00000,2026-03-06 12:43:06,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,100,00:02:32,00:05:43,0.00000,4.4069,0.000000000,0.00000,2026-03-06 12:43:08,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,101,00:02:34,00:05:45,0.00000,4.4066,0.000000000,0.00000,2026-03-06 12:43:10,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,102,00:02:36,00:05:47,0.00000,4.4063,0.000000000,0.00000,2026-03-06 12:43:12,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,103,00:02:38,00:05:49,0.00000,4.4060,0.000000000,0.00000,2026-03-06 12:43:14,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,104,00:02:40,00:05:51,0.00000,4.4056,0.000000000,0.00000,2026-03-06 12:43:16,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,105,00:02:42,00:05:53,0.00000,4.4053,0.000000000,0.00000,2026-03-06 12:43:18,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,106,00:02:44,00:05:55,0.00000,4.4051,0.000000000,0.00000,2026-03-06 12:43:20,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,107,00:02:46,00:05:57,0.00000,4.4047,0.000000000,0.00000,2026-03-06 12:43:22,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,108,00:02:48,00:05:59,0.00000,4.4044,0.000000000,0.00000,2026-03-06 12:43:24,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,109,00:02:50,00:06:01,0.00000,4.4042,0.000000000,0.00000,2026-03-06 12:43:26,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,110,00:02:52,00:06:03,0.00000,4.4039,0.000000000,0.00000,2026-03-06 12:43:28,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,111,00:02:54,00:06:05,0.00000,4.4036,0.000000000,0.00000,2026-03-06 12:43:30,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,112,00:02:56,00:06:07,0.00000,4.4033,0.000000000,0.00000,2026-03-06 12:43:32,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,113,00:02:58,00:06:09,0.00000,4.4031,0.000000000,0.00000,2026-03-06 12:43:34,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,114,00:03:00,00:06:11,0.00000,4.4027,0.000000000,0.00000,2026-03-06 12:43:36,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,115,00:03:02,00:06:13,0.00000,4.4026,0.000000000,0.00000,2026-03-06 12:43:38,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,116,00:03:04,00:06:15,0.00000,4.4023,0.000000000,0.00000,2026-03-06 12:43:40,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,117,00:03:06,00:06:17,0.00000,4.4020,0.000000000,0.00000,2026-03-06 12:43:42,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,118,00:03:08,00:06:19,0.00000,4.4018,0.000000000,0.00000,2026-03-06 12:43:44,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,119,00:03:10,00:06:21,0.00000,4.4015,0.000000000,0.00000,2026-03-06 12:43:46,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,120,00:03:12,00:06:23,0.00000,4.4012,0.000000000,0.00000,2026-03-06 12:43:48,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,121,00:03:14,00:06:25,0.00000,4.4010,0.000000000,0.00000,2026-03-06 12:43:50,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,122,00:03:16,00:06:27,0.00000,4.4008,0.000000000,0.00000,2026-03-06 12:43:52,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,123,00:03:18,00:06:29,0.00000,4.4005,0.000000000,0.00000,2026-03-06 12:43:54,0.00000,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,124,00:03:20,00:06:31,0.00000,4.4003,0.000000000,0.00000,2026-03-06 12:43:56,0.00000,0.0000,26.78,25.36,0.0000,0.0000,0.0000,0.0000,26.78,25.36,26.07,1.42
,,125,00:03:22,00:06:33,0.00000,4.4000,0.000000000,0.00000,2026-03-06 12:43:58,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
